0,1,2,3,4,5,6,7,8,9,10
whipped/sour cream,brown bread,,,,,,,,,
yogurt,bottled water,,,,,,,,,
citrus fruit,newspapers,shopping bags,,,,,,,,
pork,root vegetables,,,,,,,,,
beef,bottled water,,,,,,,,,
root vegetables,male cosmetics,,,,,,,,,
pastry,candy,,,,,,,,,
other vegetables,hygiene articles,,,,,,,,,
other vegetables,root vegetables,mayonnaise,,,,,,,,
curd cheese,newspapers,UHT-milk,,,,,,,,
soda,berries,,,,,,,,,
whole milk,whipped/sour cream,domestic eggs,house keeping products,,,,,,,
baking powder,beef,,,,,,,,,
other vegetables,pasta,,,,,,,,,
pork,rolls/buns,,,,,,,,,
rolls/buns,brown bread,whipped/sour cream,,,,,,,,
chocolate marshmallow,bottled water,,,,,,,,,
rolls/buns,seasonal products,,,,,,,,,
hamburger meat,root vegetables,,,,,,,,,
dessert,bottled beer,,,,,,,,,
whole milk,sugar,,,,,,,,,
waffles,rolls/buns,,,,,,,,,
zwieback,shopping bags,kitchen towels,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
yogurt,brown bread,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
pastry,liquor,,,,,,,,,
sausage,bottled beer,,,,,,,,,
whole milk,bottled water,,,,,,,,,
pork,mayonnaise,,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
cream cheese ,pickled vegetables,,,,,,,,,
tropical fruit,bottled beer,,,,,,,,,
frozen meals,bottled water,,,,,,,,,
pastry,baking powder,,,,,,,,,
frozen meals,other vegetables,bottled beer,,,,,,,,
frozen vegetables,whipped/sour cream,,,,,,,,,
citrus fruit,waffles,,,,,,,,,
butter milk,whole milk,,,,,,,,,
beef,pet care,,,,,,,,,
sausage,soda,bottled water,,,,,,,,
packaged fruit/vegetables,dishes,,,,,,,,,
curd,chocolate marshmallow,,,,,,,,,
whole milk,detergent,soda,,,,,,,,
bottled beer,ham,other vegetables,pork,whole milk,oil,brown bread,,,,
beverages,tropical fruit,,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
sugar,bottled water,cream cheese ,,,,,,,,
coffee,yogurt,,,,,,,,,
soda,sausage,yogurt,root vegetables,,,,,,,
chicken,hygiene articles,,,,,,,,,
meat,other vegetables,,,,,,,,,
soft cheese,berries,,,,,,,,,
beef,other vegetables,whole milk,soda,,,,,,,
soft cheese,yogurt,pastry,instant coffee,,,,,,,
instant coffee,newspapers,,,,,,,,,
whole milk,soda,,,,,,,,,
root vegetables,grapes,soda,,,,,,,,
chocolate,root vegetables,,,,,,,,,
cream cheese ,newspapers,,,,,,,,,
syrup,newspapers,processed cheese,rolls/buns,,,,,,,
rolls/buns,canned beer,,,,,,,,,
pudding powder,mustard,,,,,,,,,
pastry,chicken,packaged fruit/vegetables,tropical fruit,packaged fruit/vegetables,pasta,photo/film,sugar,,,
whole milk,whole milk,,,,,,,,,
soda,bottled water,whole milk,other vegetables,hygiene articles,,,,,,
yogurt,coffee,,,,,,,,,
soft cheese,soda,,,,,,,,,
yogurt,butter,cling film/bags,fruit/vegetable juice,,,,,,,
canned vegetables,fish,,,,,,,,,
beef,dog food,yogurt,,,,,,,,
decalcifier,root vegetables,,,,,,,,,
other vegetables,beverages,fruit/vegetable juice,prosecco,other vegetables,ice cream,soda,root vegetables,,,
yogurt,onions,,,,,,,,,
chicken,other vegetables,,,,,,,,,
rolls/buns,soda,,,,,,,,,
rolls/buns,salty snack,,,,,,,,,
dessert,whole milk,,,,,,,,,
other vegetables,fruit/vegetable juice,oil,detergent,,,,,,,
other vegetables,sausage,sliced cheese,rolls/buns,,,,,,,
ham,other vegetables,,,,,,,,,
sausage,beverages,,,,,,,,,
brown bread,pastry,,,,,,,,,
whole milk,specialty chocolate,,,,,,,,,
tropical fruit,cream cheese ,,,,,,,,,
pastry,rolls/buns,,,,,,,,,
curd,ice cream,,,,,,,,,
UHT-milk,citrus fruit,frozen vegetables,,,,,,,,
napkins,soda,,,,,,,,,
tropical fruit,pot plants,,,,,,,,,
softener,salt,whole milk,,,,,,,,
chicken,brown bread,,,,,,,,,
newspapers,shopping bags,,,,,,,,,
root vegetables,tropical fruit,,,,,,,,,
whole milk,root vegetables,rolls/buns,yogurt,onions,coffee,napkins,UHT-milk,,,
dessert,yogurt,,,,,,,,,
beef,root vegetables,,,,,,,,,
waffles,margarine,,,,,,,,,
coffee,soft cheese,,,,,,,,,
herbs,white bread,curd cheese,,,,,,,,
soda,brown bread,,,,,,,,,
specialty bar,yogurt,,,,,,,,,
beef,waffles,detergent,shopping bags,,,,,,,
mayonnaise,pet care,,,,,,,,,
bottled water,softener,rolls/buns,,,,,,,,
dessert,soft cheese,shopping bags,,,,,,,,
sausage,domestic eggs,sweet spreads,,,,,,,,
meat,root vegetables,margarine,,,,,,,,
house keeping products,yogurt,,,,,,,,,
UHT-milk,brown bread,,,,,,,,,
pip fruit,pet care,bottled water,,,,,,,,
tropical fruit,napkins,whole milk,,,,,,,,
tropical fruit,pork,cream cheese ,UHT-milk,butter milk,,,,,,
white wine,specialty bar,specialty chocolate,,,,,,,,
pork,pip fruit,chocolate,,,,,,,,
rolls/buns,jam,cake bar,,,,,,,,
beef,dessert,,,,,,,,,
frankfurter,whipped/sour cream,,,,,,,,,
tropical fruit,soda,,,,,,,,,
chocolate,root vegetables,,,,,,,,,
bottled water,butter,,,,,,,,,
whole milk,butter,,,,,,,,,
hamburger meat,pip fruit,,,,,,,,,
newspapers,napkins,,,,,,,,,
beef,specialty bar,,,,,,,,,
pork,soda,yogurt,,,,,,,,
chicken,butter,,,,,,,,,
pip fruit,cake bar,,,,,,,,,
margarine,whole milk,,,,,,,,,
chocolate,UHT-milk,sliced cheese,,,,,,,,
soda,salt,,,,,,,,,
frozen fish,salty snack,,,,,,,,,
beef,frozen dessert,,,,,,,,,
hamburger meat,white wine,,,,,,,,,
bottled water,root vegetables,,,,,,,,,
meat,yogurt,,,,,,,,,
citrus fruit,butter,,,,,,,,,
tropical fruit,rolls/buns,fruit/vegetable juice,canned beer,,,,,,,
sausage,other vegetables,mayonnaise,seasonal products,,,,,,,
canned beer,shopping bags,hard cheese,,,,,,,,
detergent,soft cheese,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
sliced cheese,margarine,,,,,,,,,
tropical fruit,salt,,,,,,,,,
other vegetables,canned fish,white bread,waffles,,,,,,,
pork,root vegetables,,,,,,,,,
yogurt,sweet spreads,canned beer,pot plants,,,,,,,
whole milk,shopping bags,,,,,,,,,
pip fruit,soda,grapes,,,,,,,,
whole milk,butter,,,,,,,,,
root vegetables,pastry,specialty chocolate,,,,,,,,
bottled water,napkins,fruit/vegetable juice,hard cheese,,,,,,,
sausage,packaged fruit/vegetables,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
ice cream,grapes,,,,,,,,,
tidbits,dessert,cat food,,,,,,,,
beef,other vegetables,,,,,,,,,
tropical fruit,white bread,red/blush wine,,,,,,,,
whole milk,other vegetables,pip fruit,sparkling wine,,,,,,,
curd,dessert,cling film/bags,,,,,,,,
frozen vegetables,chicken,,,,,,,,,
tropical fruit,newspapers,specialty chocolate,margarine,,,,,,,
napkins,photo/film,dessert,,,,,,,,
rolls/buns,root vegetables,,,,,,,,,
citrus fruit,butter,,,,,,,,,
ham,yogurt,,,,,,,,,
hamburger meat,tropical fruit,,,,,,,,,
misc. beverages,rolls/buns,,,,,,,,,
whole milk,beef,root vegetables,newspapers,,,,,,,
canned beer,whipped/sour cream,,,,,,,,,
sauces,shopping bags,,,,,,,,,
canned beer,rolls/buns,,,,,,,,,
cat food,newspapers,,,,,,,,,
soda,yogurt,,,,,,,,,
whole milk,ice cream,,,,,,,,,
sausage,frozen vegetables,,,,,,,,,
beverages,newspapers,newspapers,pastry,,,,,,,
frozen dessert,newspapers,,,,,,,,,
newspapers,domestic eggs,,,,,,,,,
fruit/vegetable juice,other vegetables,,,,,,,,,
soda,soft cheese,,,,,,,,,
onions,canned beer,,,,,,,,,
bottled water,curd,yogurt,,,,,,,,
soda,other vegetables,,,,,,,,,
citrus fruit,waffles,,,,,,,,,
UHT-milk,butter milk,napkins,,,,,,,,
root vegetables,pastry,,,,,,,,,
finished products,rolls/buns,,,,,,,,,
citrus fruit,cream cheese ,,,,,,,,,
sausage,processed cheese,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
frankfurter,butter,red/blush wine,,,,,,,,
whipped/sour cream,root vegetables,rolls/buns,packaged fruit/vegetables,,,,,,,
beef,butter milk,,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
whipped/sour cream,butter milk,shopping bags,,,,,,,,
citrus fruit,specialty fat,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
rolls/buns,soft cheese,,,,,,,,,
butter,misc. beverages,shopping bags,,,,,,,,
napkins,dessert,,,,,,,,,
whole milk,whole milk,,,,,,,,,
sausage,whole milk,,,,,,,,,
vinegar,whole milk,,,,,,,,,
sausage,butter,specialty bar,soda,whipped/sour cream,,,,,,
canned beer,citrus fruit,,,,,,,,,
other vegetables,root vegetables,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
pip fruit,berries,other vegetables,bottled water,,,,,,,
other vegetables,newspapers,,,,,,,,,
butter milk,pip fruit,,,,,,,,,
domestic eggs,yogurt,canned beer,,,,,,,,
pot plants,frozen potato products,,,,,,,,,
pip fruit,hygiene articles,domestic eggs,hard cheese,,,,,,,
onions,grapes,,,,,,,,,
hygiene articles,whole milk,,,,,,,,,
tropical fruit,white bread,,,,,,,,,
whole milk,napkins,pastry,long life bakery product,,,,,,,
soda,pip fruit,coffee,,,,,,,,
sausage,domestic eggs,,,,,,,,,
other vegetables,whole milk,soda,,,,,,,,
specialty chocolate,other vegetables,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
other vegetables,vinegar,,,,,,,,,
chewing gum,citrus fruit,,,,,,,,,
whole milk,hard cheese,candles,bottled beer,shopping bags,jam,,,,,
ham,chocolate,,,,,,,,,
whole milk,canned beer,,,,,,,,,
specialty chocolate,hamburger meat,frozen fish,,,,,,,,
other vegetables,seasonal products,,,,,,,,,
bottled water,whipped/sour cream,,,,,,,,,
finished products,dessert,,,,,,,,,
chicken,frozen meals,,,,,,,,,
beef,other vegetables,,,,,,,,,
photo/film,beverages,bottled beer,,,,,,,,
onions,sliced cheese,,,,,,,,,
chocolate,yogurt,,,,,,,,,
semi-finished bread,brown bread,soda,,,,,,,,
whipped/sour cream,pot plants,,,,,,,,,
canned beer,soda,frozen vegetables,,,,,,,,
waffles,hygiene articles,tea,,,,,,,,
whole milk,bottled beer,,,,,,,,,
shopping bags,root vegetables,sliced cheese,,,,,,,,
root vegetables,nut snack,,,,,,,,,
other vegetables,other vegetables,whole milk,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
misc. beverages,instant coffee,,,,,,,,,
liquor (appetizer),liquor,,,,,,,,,
tropical fruit,coffee,red/blush wine,,,,,,,,
other vegetables,soda,,,,,,,,,
hard cheese,oil,,,,,,,,,
cat food,yogurt,bottled beer,pastry,,,,,,,
rolls/buns,mustard,newspapers,vinegar,,,,,,,
sausage,whole milk,root vegetables,soft cheese,,,,,,,
sausage,newspapers,cream,,,,,,,,
other vegetables,sugar,oil,,,,,,,,
soft cheese,soda,root vegetables,root vegetables,rolls/buns,root vegetables,margarine,shopping bags,,,
hamburger meat,candy,,,,,,,,,
dessert,frozen vegetables,,,,,,,,,
pastry,bottled water,dishes,whole milk,canned beer,,,,,,
white bread,brown bread,,,,,,,,,
rolls/buns,tropical fruit,,,,,,,,,
sweet spreads,white wine,,,,,,,,,
brown bread,chocolate,,,,,,,,,
soda,whipped/sour cream,,,,,,,,,
beef,pip fruit,,,,,,,,,
curd,beef,napkins,,,,,,,,
whole milk,pip fruit,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
pork,canned beer,,,,,,,,,
soda,yogurt,sliced cheese,,,,,,,,
meat,detergent,canned beer,,,,,,,,
frankfurter,sausage,packaged fruit/vegetables,yogurt,bottled beer,shopping bags,,,,,
frozen meals,bottled beer,root vegetables,potato products,,,,,,,
sliced cheese,candy,,,,,,,,,
beverages,domestic eggs,,,,,,,,,
beverages,whole milk,,,,,,,,,
citrus fruit,frankfurter,coffee,UHT-milk,candy,fruit/vegetable juice,,,,,
red/blush wine,yogurt,,,,,,,,,
cake bar,butter,,,,,,,,,
beef,pastry,,,,,,,,,
butter,candy,,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
UHT-milk,candles,yogurt,salty snack,,,,,,,
grapes,other vegetables,,,,,,,,,
chicken,salty snack,yogurt,,,,,,,,
brown bread,tropical fruit,berries,berries,,,,,,,
oil,onions,,,,,,,,,
tropical fruit,frozen vegetables,,,,,,,,,
other vegetables,oil,,,,,,,,,
beef,specialty chocolate,,,,,,,,,
long life bakery product,waffles,,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
tropical fruit,rolls/buns,canned beer,dish cleaner,,,,,,,
beef,chocolate marshmallow,margarine,,,,,,,,
pork,meat,,,,,,,,,
beef,other vegetables,,,,,,,,,
pork,tropical fruit,whole milk,chewing gum,,,,,,,
other vegetables,waffles,,,,,,,,,
bottled water,sauces,,,,,,,,,
tropical fruit,zwieback,,,,,,,,,
canned beer,other vegetables,,,,,,,,,
coffee,bottled water,,,,,,,,,
citrus fruit,chocolate,,,,,,,,,
beef,sweet spreads,,,,,,,,,
beef,cake bar,butter,,,,,,,,
shopping bags,newspapers,curd,hard cheese,,,,,,,
root vegetables,whole milk,,,,,,,,,
sausage,newspapers,,,,,,,,,
whipped/sour cream,salty snack,,,,,,,,,
bottled water,long life bakery product,root vegetables,mustard,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
bottled beer,margarine,,,,,,,,,
fruit/vegetable juice,ice cream,,,,,,,,,
pip fruit,bottled beer,,,,,,,,,
whole milk,whole milk,,,,,,,,,
tea,beverages,,,,,,,,,
pot plants,herbs,,,,,,,,,
chicken,tropical fruit,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
sausage,other vegetables,,,,,,,,,
misc. beverages,bottled water,other vegetables,coffee,,,,,,,
bottled beer,bottled water,,,,,,,,,
beef,brown bread,,,,,,,,,
frozen meals,other vegetables,bottled beer,,,,,,,,
other vegetables,semi-finished bread,other vegetables,rolls/buns,shopping bags,salty snack,,,,,
cling film/bags,canned vegetables,,,,,,,,,
newspapers,coffee,,,,,,,,,
pickled vegetables,meat,,,,,,,,,
frankfurter,white wine,,,,,,,,,
frozen vegetables,coffee,,,,,,,,,
yogurt,pastry,,,,,,,,,
bottled water,tropical fruit,,,,,,,,,
rolls/buns,mustard,,,,,,,,,
pip fruit,hard cheese,bottled water,,,,,,,,
whole milk,canned beer,,,,,,,,,
curd,condensed milk,dental care,,,,,,,,
onions,specialty bar,,,,,,,,,
citrus fruit,whole milk,UHT-milk,,,,,,,,
beef,butter,chocolate,frozen meals,napkins,margarine,,,,,
pip fruit,root vegetables,,,,,,,,,
photo/film,whole milk,shopping bags,,,,,,,,
citrus fruit,tropical fruit,,,,,,,,,
ham,soda,specialty chocolate,,,,,,,,
tropical fruit,rolls/buns,Instant food products,,,,,,,,
liver loaf,herbs,,,,,,,,,
domestic eggs,dessert,,,,,,,,,
pork,whole milk,,,,,,,,,
pork,napkins,,,,,,,,,
coffee,domestic eggs,,,,,,,,,
fruit/vegetable juice,napkins,,,,,,,,,
pork,yogurt,,,,,,,,,
dessert,frozen vegetables,,,,,,,,,
rolls/buns,whole milk,white bread,popcorn,,,,,,,
whipped/sour cream,other vegetables,,,,,,,,,
whole milk,baking powder,newspapers,,,,,,,,
whole milk,root vegetables,soda,,,,,,,,
citrus fruit,grapes,,,,,,,,,
beef,other vegetables,,,,,,,,,
other vegetables,rolls/buns,onions,whole milk,,,,,,,
citrus fruit,whole milk,,,,,,,,,
sausage,canned beer,,,,,,,,,
soda,dishes,,,,,,,,,
sugar,brown bread,,,,,,,,,
tropical fruit,soda,canned beer,,,,,,,,
other vegetables,citrus fruit,canned beer,,,,,,,,
citrus fruit,flour,,,,,,,,,
yogurt,other vegetables,rolls/buns,herbs,,,,,,,
domestic eggs,candy,,,,,,,,,
onions,whipped/sour cream,,,,,,,,,
beef,other vegetables,,,,,,,,,
tropical fruit,pastry,,,,,,,,,
red/blush wine,dog food,,,,,,,,,
root vegetables,butter milk,,,,,,,,,
cream cheese ,white bread,,,,,,,,,
canned beer,sausage,onions,canned beer,,,,,,,
whole milk,soda,newspapers,,,,,,,,
bottled beer,whole milk,other vegetables,,,,,,,,
other vegetables,rolls/buns,specialty cheese,,,,,,,,
ice cream,curd,,,,,,,,,
root vegetables,bottled water,,,,,,,,,
other vegetables,whole milk,pudding powder,cream cheese ,,,,,,,
onions,whole milk,,,,,,,,,
UHT-milk,curd,flower (seeds),,,,,,,,
frozen dessert,tropical fruit,,,,,,,,,
pork,whole milk,,,,,,,,,
tropical fruit,citrus fruit,domestic eggs,rolls/buns,,,,,,,
misc. beverages,cling film/bags,curd,,,,,,,,
cream cheese ,bottled water,,,,,,,,,
yogurt,coffee,coffee,,,,,,,,
canned fish,cling film/bags,,,,,,,,,
brown bread,herbs,,,,,,,,,
ice cream,pork,,,,,,,,,
soda,beef,beef,rolls/buns,shopping bags,chocolate,processed cheese,brown bread,dessert,,
other vegetables,whole milk,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
popcorn,pork,margarine,beef,butter,,,,,,
whole milk,cookware,brown bread,bottled beer,,,,,,,
other vegetables,frozen vegetables,cling film/bags,bottled water,,,,,,,
tropical fruit,whole milk,other vegetables,long life bakery product,,,,,,,
beverages,whole milk,semi-finished bread,domestic eggs,,,,,,,
white bread,canned beer,,,,,,,,,
chicken,beef,white bread,semi-finished bread,,,,,,,
flour,cream cheese ,,,,,,,,,
bottled water,processed cheese,,,,,,,,,
ham,whipped/sour cream,soda,light bulbs,,,,,,,
citrus fruit,sweet spreads,,,,,,,,,
pork,other vegetables,,,,,,,,,
canned beer,herbs,,,,,,,,,
white bread,flour,,,,,,,,,
oil,soda,,,,,,,,,
ham,other vegetables,,,,,,,,,
other vegetables,butter,,,,,,,,,
pork,pastry,candy,,,,,,,,
other vegetables,cat food,,,,,,,,,
other vegetables,hard cheese,liquor,brown bread,,,,,,,
detergent,newspapers,,,,,,,,,
frankfurter,bottled water,,,,,,,,,
pork,pork,frankfurter,frozen fish,waffles,napkins,rolls/buns,,,,
sausage,fruit/vegetable juice,pot plants,,,,,,,,
beverages,cat food,soda,,,,,,,,
rolls/buns,light bulbs,long life bakery product,,,,,,,,
tropical fruit,bottled beer,,,,,,,,,
other vegetables,soda,,,,,,,,,
sausage,margarine,,,,,,,,,
root vegetables,frozen vegetables,,,,,,,,,
chicken,other vegetables,,,,,,,,,
herbs,curd,,,,,,,,,
pip fruit,pastry,,,,,,,,,
white wine,whole milk,,,,,,,,,
hamburger meat,candy,napkins,,,,,,,,
hygiene articles,hygiene articles,pastry,,,,,,,,
sausage,tropical fruit,,,,,,,,,
other vegetables,brown bread,bottled water,specialty bar,,,,,,,
frankfurter,whipped/sour cream,,,,,,,,,
cake bar,long life bakery product,shopping bags,,,,,,,,
tropical fruit,frozen vegetables,,,,,,,,,
waffles,sparkling wine,,,,,,,,,
liver loaf,rolls/buns,rolls/buns,other vegetables,rolls/buns,packaged fruit/vegetables,flower (seeds),shopping bags,,,
canned beer,beverages,,,,,,,,,
sausage,whipped/sour cream,,,,,,,,,
frankfurter,bottled water,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
beverages,sugar,,,,,,,,,
coffee,sausage,shopping bags,specialty bar,red/blush wine,,,,,,
brown bread,rolls/buns,cat food,pastry,,,,,,,
napkins,pastry,,,,,,,,,
pip fruit,butter milk,,,,,,,,,
tropical fruit,grapes,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
root vegetables,newspapers,,,,,,,,,
finished products,rolls/buns,oil,frozen vegetables,,,,,,,
canned beer,cake bar,,,,,,,,,
canned beer,tropical fruit,,,,,,,,,
chicken,frozen vegetables,candy,,,,,,,,
root vegetables,butter,,,,,,,,,
other vegetables,roll products ,,,,,,,,,
root vegetables,snack products,,,,,,,,,
domestic eggs,frozen vegetables,curd,,,,,,,,
white wine,spread cheese,,,,,,,,,
pork,beef,,,,,,,,,
hamburger meat,yogurt,,,,,,,,,
butter,brown bread,,,,,,,,,
kitchen towels,bottled beer,,,,,,,,,
sugar,cream cheese ,,,,,,,,,
tropical fruit,tropical fruit,pot plants,berries,other vegetables,shopping bags,,,,,
pasta,shopping bags,,,,,,,,,
canned beer,whole milk,frankfurter,frankfurter,dishes,rolls/buns,pip fruit,canned vegetables,,,
UHT-milk,rolls/buns,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
sausage,salt,,,,,,,,,
canned fish,root vegetables,,,,,,,,,
other vegetables,canned beer,,,,,,,,,
curd,whole milk,canned beer,,,,,,,,
margarine,other vegetables,bottled water,meat spreads,,,,,,,
sausage,whole milk,,,,,,,,,
herbs,yogurt,newspapers,,,,,,,,
yogurt,bottled beer,,,,,,,,,
beef,pip fruit,bottled water,margarine,hygiene articles,,,,,,
tropical fruit,newspapers,,,,,,,,,
bottled beer,pastry,,,,,,,,,
pip fruit,soda,jam,,,,,,,,
whole milk,curd,,,,,,,,,
fruit/vegetable juice,female sanitary products,,,,,,,,,
root vegetables,pickled vegetables,,,,,,,,,
zwieback,cream cheese ,,,,,,,,,
soda,curd,,,,,,,,,
meat,liquor,male cosmetics,fruit/vegetable juice,,,,,,,
tropical fruit,chewing gum,,,,,,,,,
rolls/buns,fruit/vegetable juice,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
butter milk,oil,,,,,,,,,
butter,dog food,,,,,,,,,
berries,whipped/sour cream,,,,,,,,,
sausage,pastry,,,,,,,,,
canned beer,bottled beer,,,,,,,,,
canned beer,rolls/buns,rolls/buns,,,,,,,,
tropical fruit,flower (seeds),,,,,,,,,
frozen vegetables,other vegetables,,,,,,,,,
sausage,soda,,,,,,,,,
chocolate,whole milk,yogurt,,,,,,,,
other vegetables,margarine,other vegetables,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
beef,butter milk,,,,,,,,,
pot plants,bottled water,,,,,,,,,
bottled water,napkins,,,,,,,,,
canned beer,bottled beer,,,,,,,,,
